path,category,current_role,target_role,action,risk,notes
pyproject.toml,migration_doc,setuptools packages find include intraday_research star flat,where src layout,KEEP_LOCAL_ONLY,phase 2A additive only no packages find change phase 2B switches layout,untracked pre existing
pytest.ini,migration_doc,pythonpath dot only,pythonpath src dot after phase 2B,KEEP_LOCAL_ONLY,phase 2B one line pythonpath change,tracked clean
requirements.txt,migration_doc,baseline runtime deps no torch,torch only in pyproject optional deep,KEEP_LOCAL_ONLY,no implicit install,tracked clean
.gitignore,migration_doc,artifact policy boundaries,unchanged,KEEP_LOCAL_ONLY,M dirty do not revert,M dirty WIP
AGENTS.md,protocol_doc,research contract v6.2 raw config screening,unchanged,KEEP_LOCAL_ONLY,M dirty do not revert hard research rules source of truth,M dirty WIP
README.md,protocol_doc,project entry point,phase 9 optional skip by default,KEEP_LOCAL_ONLY,M dirty do not revert,M dirty WIP
CLAUDE.md,migration_doc,workspace session context dump at project root,unchanged,KEEP_LOCAL_ONLY,untracked root file workspace context not research code,untracked
intraday_research/__init__.py,canonical_source,flat layout package docstring only no version,merge into src package init phase 2B,MOVE_IN_FUTURE_PHASE,phase 2B merge with src version constants,tracked clean
intraday_research/baseline_v1.py,canonical_source,flat layout baseline helpers,move verbatim to src package phase 2B,MOVE_IN_FUTURE_PHASE,phase 2B verbatim move test baseline v1 helpers must still pass,tracked clean
intraday_research/validation_pipeline.py,canonical_source,flat layout validation pipeline,move verbatim to src package phase 2B,MOVE_IN_FUTURE_PHASE,phase 2B verbatim move test validation pipeline must still pass,tracked clean
data/CSCO.csv,raw_data,5min intraday OHLCV ticker CSCO,unchanged local only or Drive,KEEP_LOCAL_ONLY,do not touch do not commit do not move,gitignored data star
data/JPM.csv,raw_data,5min intraday OHLCV ticker JPM,unchanged local only or Drive,KEEP_LOCAL_ONLY,do not touch do not commit do not move,gitignored data star
data/KO.csv,raw_data,5min intraday OHLCV ticker KO,unchanged local only or Drive,KEEP_LOCAL_ONLY,do not touch do not commit do not move,gitignored data star
data/MSFT.csv,raw_data,5min intraday OHLCV ticker MSFT,unchanged local only or Drive,KEEP_LOCAL_ONLY,do not touch do not commit do not move,gitignored data star
data/WMT.csv,raw_data,5min intraday OHLCV ticker WMT,unchanged local only or Drive,KEEP_LOCAL_ONLY,do not touch do not commit do not move,gitignored data star
notebooks/01_research_direction_colab.ipynb,canonical_source,intro research direction colab,unchanged intro notebook,INVENTORY_ONLY,intro lane not part of stage pipeline,untracked
notebooks/02_config_screening_colab.ipynb,generated_notebook,stage 02 config screening colab,thin package backed notebook after full migration,MOVE_IN_FUTURE_PHASE,run in colab only do not execute locally,untracked
notebooks/03_model_family_screening_colab.ipynb,generated_notebook,stage 03 model family screening colab,thin package backed notebook after full migration,MOVE_IN_FUTURE_PHASE,run in colab only do not execute locally,untracked
notebooks/04_controlled_followup_colab.ipynb,generated_notebook,stage 04 controlled followup colab,thin package backed notebook after full migration,MOVE_IN_FUTURE_PHASE,run in colab only do not execute locally,untracked
notebooks/05_lightgbm_tuning_colab.ipynb,generated_notebook,stage 05 lightgbm tuning colab,thin package backed notebook after full migration,MOVE_IN_FUTURE_PHASE,run in colab only do not execute locally,untracked
notebooks/06_selective_no_trade_calibration_colab.ipynb,generated_notebook,stage 06 selective no trade calibration colab,thin package backed notebook after full migration,MOVE_IN_FUTURE_PHASE,run in colab only do not execute locally,untracked
notebooks/07_validation_synthesis_and_gap_audit_colab.ipynb,generated_notebook,stage 07 validation synthesis and gap audit colab,thin package backed notebook after full migration,MOVE_IN_FUTURE_PHASE,N07 reads official validation writes ledger per AGENTS 4.3,untracked
notebooks/08_deep_sequence_exploration_colab.ipynb,generated_notebook,stage 08 deep sequence exploration colab,thin package backed notebook after full migration,MOVE_IN_FUTURE_PHASE,N08 reads official validation writes ledger per AGENTS 4.3,untracked
notebooks/02_diagnostic_h0_tabular_sweep_colab.ipynb,generated_notebook,diagnostic lane h0 tabular sweep,non canonical diagnostic optional archive,INVENTORY_ONLY,not in canonical 02 to 08 pipeline diagnostic only,untracked
notebooks/04_ian_research_memo.ipynb,notebook_backup,research memo not executable stage,artifacts review packets or archive,INVENTORY_ONLY,research memo not canonical pipeline member,untracked
notebooks/05_06_chained_validation_colab.ipynb,run_copy_notebook,chained N05 N06 run copy,artifacts run manifests or archive,INVENTORY_ONLY,chained N05 N06 run copy not in canonical pipeline NOT covered by .gitignore run-copy pattern,untracked
notebooks/05_06_chained_validation_colab_resume06.ipynb,run_copy_notebook,chained N05 N06 resume run copy,artifacts run manifests or archive,INVENTORY_ONLY,chained N05 N06 resume helper NOT covered by .gitignore run-copy pattern,untracked
notebooks/05_lightgbm_tuning_colab_run_all.ipynb,run_copy_notebook,N05 run all copy,gitignored artifacts run manifests,INVENTORY_ONLY,gitignored by run_all pattern,gitignored run copy
notebooks/07_validation_synthesis_and_gap_audit_colab_drive_core_full_run.ipynb,run_copy_notebook,N07 drive core full run copy,gitignored artifacts run manifests,INVENTORY_ONLY,gitignored by drive_core_full_run pattern runs in colab writes ledger,gitignored run copy
notebooks/07_validation_synthesis_and_gap_audit_colab_drive_core_full_run.ipynb.bak_keyerror_ticker,notebook_backup,N07 drive run keyerror ticker debug backup,gitignored bak pattern,INVENTORY_ONLY,gitignored by bak pattern debug backup only,gitignored backup
notebooks/checkpoints/notebook_01_lstm_smoke/best.pt,runtime_output,N01 lstm smoke checkpoint best,gitignored pt pattern,KEEP_LOCAL_ONLY,gitignored by pt pattern runtime artifact,gitignored pt
notebooks/checkpoints/notebook_01_lstm_smoke/last.pt,runtime_output,N01 lstm smoke checkpoint last,gitignored pt pattern,KEEP_LOCAL_ONLY,gitignored by pt pattern runtime artifact,gitignored pt
notebooks/evidence/feature_selection_2026-06-02,runtime_output,N02 feature selection evidence dir,gitignored runtime output,INVENTORY_ONLY,evidence dir contains results subdir runtime only,untracked
notebooks/results,runtime_output,empty runtime output dir,gitignored results pattern,INVENTORY_ONLY,empty dir gitignored,empty dir
notebooks/archive,runtime_output,archive dir,unchanged,INVENTORY_ONLY,archive dir not part of active route,empty or stale
scripts/create_config_screening_colab_notebook.py,generator,N02 config screening generator,scripts notebooks generate config screening colab,MOVE_IN_FUTURE_PHASE,phase 8 relocation checklist only no move,untracked
scripts/create_model_family_screening_colab_notebook.py,generator,N03 model family screening generator,scripts notebooks generate model family screening colab,MOVE_IN_FUTURE_PHASE,phase 8 relocation checklist only no move,untracked
scripts/create_controlled_followup_colab_notebook.py,generator,N04 controlled followup generator,scripts notebooks generate controlled followup colab,MOVE_IN_FUTURE_PHASE,phase 8 relocation checklist only no move,untracked
scripts/create_lightgbm_tuning_colab_notebook.py,generator,N05 lightgbm tuning generator,scripts notebooks generate lightgbm tuning colab,MOVE_IN_FUTURE_PHASE,phase 8 relocation checklist only no move,untracked
scripts/create_selective_no_trade_calibration_colab_notebook.py,generator,N06 selective no trade calibration generator,scripts notebooks generate selective no trade calibration colab,MOVE_IN_FUTURE_PHASE,phase 8 relocation checklist only no move,untracked
scripts/create_validation_synthesis_and_gap_audit_colab_notebook.py,generator,N07 validation synthesis gap audit generator,scripts notebooks generate validation synthesis gap audit colab,MOVE_IN_FUTURE_PHASE,phase 8 relocation checklist only no move,untracked
scripts/create_deep_sequence_exploration_colab_notebook.py,generator,N08 deep sequence exploration generator,scripts notebooks generate deep sequence exploration colab,MOVE_IN_FUTURE_PHASE,phase 8 relocation checklist only no move,untracked
scripts/create_diagnostic_h0_tabular_sweep_colab_notebook.py,generator,diagnostic h0 tabular sweep generator,optional scripts notebooks or archive,INVENTORY_ONLY,NOT in canonical 02 to 08 pipeline diagnostic lane only,untracked
scripts/notebook06_contract.py,contract_helper,N06 artifact contract validators,src intraday_research contracts selective_no_trade_calibration,MOVE_IN_PHASE_3,phase 3 byte for byte AST enumerated shim,untracked
scripts/notebook07_contract.py,contract_helper,N07 artifact contract validators ledger,src intraday_research contracts validation_synthesis_gap_audit,MOVE_IN_PHASE_3,phase 3 byte for byte preserve IMPROVEMENT thresholds and ledger validators,tracked clean
scripts/notebook08_contract.py,contract_helper,N08 artifact contract validators ledger,src intraday_research contracts deep_sequence_exploration,MOVE_IN_PHASE_3,phase 3 byte for byte preserve validate ledger and underscore helpers,untracked
scripts/extract_stage0_notebook_outputs.py,generator,stage0 notebook outputs extractor,unchanged helper,INVENTORY_ONLY,helper outside canonical pipeline,untracked
scripts/review_extracted_stage0_outputs.py,generator,stage0 extracted outputs reviewer,unchanged helper,INVENTORY_ONLY,helper outside canonical pipeline,untracked
tests/test_baseline_v1_helpers.py,static_gate_test,flat intraday_research baseline_v1 helpers test,tests stages or unchanged after phase 2B,INVENTORY_ONLY,must still pass after phase 2B flat to src move,tracked clean
tests/test_notebook03_static_gate.py,static_gate_test,N03 notebook static gate,tests notebooks test model family screening notebook,INVENTORY_ONLY,rename in future phase after registry lookup works,untracked
tests/test_notebook04_static_gate.py,static_gate_test,N04 notebook static gate,tests notebooks test controlled followup notebook,INVENTORY_ONLY,rename in future phase after registry lookup works,untracked
tests/test_notebook05_static_gate.py,static_gate_test,N05 notebook static gate,tests notebooks test lightgbm tuning notebook,INVENTORY_ONLY,rename in future phase after registry lookup works,untracked
tests/test_notebook06_artifact_contract.py,artifact_contract_test,N06 artifact contract test imports scripts notebook06_contract as c,tests contracts test selective_no_trade_calibration contract,INVENTORY_ONLY,imports via from scripts import notebook06_contract must keep working after phase 3 shim,untracked
tests/test_notebook06_static_gate.py,static_gate_test,N06 notebook static gate imports scripts notebook06_contract as contract,tests notebooks test selective_no_trade_calibration notebook,INVENTORY_ONLY,asserts notebook does NOT import scripts notebook06_contract shim must preserve attr access,untracked
tests/test_notebook07_artifact_contract.py,artifact_contract_test,N07 artifact contract test imports scripts notebook07_contract as c,tests contracts test validation_synthesis_gap_audit contract,INVENTORY_ONLY,imports via from scripts import notebook07_contract must keep working after phase 3 shim,tracked clean
tests/test_notebook07_static_gate.py,static_gate_test,N07 notebook static gate M edit adds from scripts import notebook07_contract as c,tests notebooks test validation_synthesis_gap_audit notebook,INVENTORY_ONLY,M dirty do not revert M edit adds scripts notebook07_contract import and CONTRACT_PATH symbol,M dirty WIP
tests/test_notebook08_artifact_contract.py,artifact_contract_test,N08 artifact contract test M edit lifted validators to scripts notebook08_contract with module level re exports,tests contracts test deep_sequence_exploration contract,INVENTORY_ONLY,M dirty do not revert M edit lifts validators and re exports REQUIRED_DMC_FIELDS REQUIRED_FREEZE_RECORD_FIELDS REQUIRED_SEPARATE_SESSION_ATTESTATION_FIELDS,M dirty WIP
tests/test_notebook08_static_gate.py,static_gate_test,N08 notebook static gate,tests notebooks test deep_sequence_exploration notebook,INVENTORY_ONLY,rename in future phase,tracked clean
tests/test_notebook_static_gate.py,static_gate_test,umbrella unnumbered notebook static gate,tests notebooks or unchanged,INVENTORY_ONLY,umbrella gate unnumbered check shim compatibility,tracked clean
tests/test_validation_pipeline.py,static_gate_test,intraday_research validation pipeline smoke test,unchanged after phase 2B flat to src move,INVENTORY_ONLY,must still pass after phase 2B known pre existing collection blocker per repo migration plan,tracked clean
docs/ARTIFACT_POLICY.md,migration_doc,artifact policy GitHub Drive Zenodo Colab boundary,unchanged,INVENTORY_ONLY,policy doc consumed by phase 5 reproducibility,untracked
docs/BASELINE_REFERENCE.md,protocol_doc,baseline model reference,unchanged,INVENTORY_ONLY,protocol doc,tracked clean
docs/CODE_ORGANIZATION.md,migration_doc,target repo shape naming extraction gate,unchanged,INVENTORY_ONLY,migration target consumed by all phases,untracked
docs/CONFIG_SCREENING_FREEZE_2026-06-04.md,protocol_doc,N02 config screening freeze,docs configuration screening freeze after README link update,INVENTORY_ONLY,freeze doc active,untracked
docs/CONTROLLED_FOLLOWUP_PROTOCOL_2026-06-04.md,protocol_doc,N04 controlled followup protocol,docs protocols controlled followup,INVENTORY_ONLY,protocol doc active,untracked
docs/CRITICAL_REVIEW_2026-06-02.md,protocol_doc,critical review round1,unchanged historical,INVENTORY_ONLY,historical review doc,tracked clean
docs/CRITICAL_REVIEW_ROUND3_2026-06-02.md,protocol_doc,critical review round3,unchanged historical,INVENTORY_ONLY,historical review doc,tracked clean
docs/DIAGNOSTIC_H0_TABULAR_SWEEP_PROTOCOL_2026-06-04.md,protocol_doc,diagnostic h0 tabular sweep protocol,unchanged diagnostic protocol,INVENTORY_ONLY,diagnostic lane outside canonical pipeline,untracked
docs/ENVIRONMENT.md,migration_doc,environment setup notes,unchanged,INVENTORY_ONLY,env setup consumed by phase 5 reproducibility,tracked clean
docs/GITHUB_MIGRATION_PLAN.md,migration_doc,repo own phasing reference,unchanged user plan supersedes,INVENTORY_ONLY,repo phasing reference,untracked
docs/LEGACY_NAME_MAPPING.md,migration_doc,legacy to target path mapping,additive align in phase 4,INVENTORY_ONLY,phase 4 additive only no wholesale rewrite preserve N07 Drive folder ID,untracked
docs/MODEL_FAMILY_SCREENING_PROTOCOL_2026-06-04.md,protocol_doc,N03 model family screening protocol,docs protocols model family screening,INVENTORY_ONLY,protocol doc active,untracked
docs/NOTEBOOK05_LIGHTGBM_TUNING_PROTOCOL_2026-06-04.md,protocol_doc,N05 lightgbm tuning protocol,docs protocols lightgbm tuning,INVENTORY_ONLY,protocol doc active,tracked clean
docs/NOTEBOOK06_SELECTIVE_NO_TRADE_CALIBRATION_PROTOCOL_2026-06-05.md,protocol_doc,N06 selective no trade calibration protocol,docs protocols selective no trade calibration,INVENTORY_ONLY,protocol doc active,untracked
docs/NOTEBOOK06_SELECTIVE_NO_TRADE_TECHNICAL_DESIGN_2026-06-05.md,protocol_doc,N06 selective no trade technical design,docs technical designs selective no trade calibration,INVENTORY_ONLY,technical design consumed by phase 3 contract,untracked
docs/NOTEBOOK07_VALIDATION_SYNTHESIS_AND_GAP_AUDIT_TECHNICAL_DESIGN_2026-06-06.md,protocol_doc,N07 validation synthesis gap audit technical design,docs technical designs validation synthesis gap audit,INVENTORY_ONLY,technical design consumed by phase 3 contract,tracked clean
docs/NOTEBOOK08_DEEP_SEQUENCE_EXPLORATION_FREEZE_READOUT_TECHNICAL_DESIGN_2026-06-06.md,protocol_doc,N08 deep sequence exploration freeze readout technical design,docs technical designs deep sequence exploration,INVENTORY_ONLY,M dirty do not revert technical design consumed by phase 3 contract,M dirty WIP
docs/NOTEBOOK08_RESUME_GATES.md,protocol_doc,N08 resume gates doc,unchanged,INVENTORY_ONLY,protocol doc resume gates,untracked
docs/RESEARCH_WORKFLOW.md,protocol_doc,research workflow active,unchanged,INVENTORY_ONLY,M dirty do not revert AGENTS referenced reading,M dirty WIP
docs/research_notes/06_07_intraday_concentration_guardrails_materials_2026-06-05.md,protocol_doc,N06 N07 intraday concentration guardrails materials,unchanged research notes,INVENTORY_ONLY,research notes for N06 N07 design,untracked
docs/research_notes/06_07_literature_materials_2026-06-05.md,protocol_doc,N06 N07 literature materials,unchanged research notes,INVENTORY_ONLY,research notes literature,untracked
docs/research_notes/06_07_purged_embargo_cv_materials_2026-06-05.md,protocol_doc,N06 N07 purged embargo cv materials,unchanged research notes,INVENTORY_ONLY,research notes cv materials,untracked
docs/research_notes/06_artifact_contract_implementation_materials_2026-06-05.md,protocol_doc,N06 artifact contract implementation materials,unchanged research notes,INVENTORY_ONLY,research notes N06 contract impl,untracked
docs/research_notes/06_ece_aurc_calibration_metrics_materials_2026-06-05.md,protocol_doc,N06 ece aurc calibration metrics materials,unchanged research notes,INVENTORY_ONLY,research notes N06 calibration metrics,untracked
docs/research_notes/07_explainability_robustness_model_materials_2026-06-05.md,protocol_doc,N07 explainability robustness model materials,unchanged research notes,INVENTORY_ONLY,research notes N07 explainability,untracked
artifacts/research_packets/notebook06_07_selective_calibration_research_packet_2026-06-05.md,protocol_doc,N06 N07 selective calibration research packet,unchanged,INVENTORY_ONLY,research packet active design reference,untracked
artifacts/stage0_desktop_02_config_screening_2026-06-04/drive_upload_stream.txt,runtime_output,stage0 drive upload stream log,gitignored runtime output,INVENTORY_ONLY,gitignored runtime log,untracked
artifacts/stage0_desktop_02_config_screening_2026-06-04/extraction_manifest.json,runtime_output,stage0 extraction manifest,gitignored runtime output,INVENTORY_ONLY,gitignored runtime manifest,untracked
artifacts/stage0_desktop_02_config_screening_2026-06-04/stage0_decision_blocks.json,runtime_output,stage0 decision blocks artifact,gitignored runtime output,INVENTORY_ONLY,gitignored runtime artifact,untracked
artifacts/stage0_desktop_02_config_screening_2026-06-04/stage0_review_summary.md,runtime_output,stage0 review summary artifact,unchanged review summary,INVENTORY_ONLY,review summary artifact,untracked
artifacts/stage0_desktop_02_config_screening_2026-06-04/stage0a1_stream.txt,runtime_output,stage0a1 run log,gitignored runtime output,INVENTORY_ONLY,gitignored runtime log,untracked
artifacts/stage0_desktop_02_config_screening_2026-06-04/stage0a1_table1.csv,runtime_output,stage0a1 results table,gitignored runtime output,INVENTORY_ONLY,gitignored runtime table,untracked
artifacts/stage0_desktop_02_config_screening_2026-06-04/stage0a2_stream.txt,runtime_output,stage0a2 run log,gitignored runtime output,INVENTORY_ONLY,gitignored runtime log,untracked
artifacts/stage0_desktop_02_config_screening_2026-06-04/stage0a2_table1.csv,runtime_output,stage0a2 results table,gitignored runtime output,INVENTORY_ONLY,gitignored runtime table,untracked
artifacts/stage0_desktop_02_config_screening_2026-06-04/stage0b_stream.txt,runtime_output,stage0b run log,gitignored runtime output,INVENTORY_ONLY,gitignored runtime log,untracked
artifacts/stage0_desktop_02_config_screening_2026-06-04/stage0b_table1.csv,runtime_output,stage0b results table,gitignored runtime output,INVENTORY_ONLY,gitignored runtime table,untracked
notebook07_validation_budget_ledger.csv,runtime_output,N07 validation budget ledger runtime artifact at NOTEBOOK07 RESULTS DIR slash notebook07 validation budget ledger csv,unchanged runtime only,KEEP_LOCAL_ONLY,N07 writes N08 reads must append row before reading official validation metric per AGENTS 4.3,append_only_per_AGENTS_4.3 N07_writes N08_reads runtime_only_path_per_N08_generator
